title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/fahadfhs/To-do-WebApp;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://pythonhow.com;2.png
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://github.com/fahadfhs/Weather_App_API;16.png
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://github.com/fahadfhs/Student-Management-System;17.png
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://github.com/fahadfhs/Restaurant-Menu-App;19.png
